step,test_acc
500,0.983774038462
1000,0.986979166667
1500,0.988882211538
2000,0.992988782051
2500,0.992387820513
3000,0.991185897436
3500,0.993489583333
4000,0.99358974359
4500,0.993689903846
5000,0.995192307692
5500,0.99358974359
6000,0.993489583333
6500,0.994591346154
7000,0.993890224359
7500,0.993489583333
8000,0.994190705128
8500,0.994591346154
9000,0.995192307692
9500,0.995192307692
10000,0.994591346154
10500,0.993389423077
11000,0.993990384615
11500,0.994290865385
12000,0.994591346154
13000,0.995993589744
13500,0.99469150641
14000,0.993990384615
14500,0.995292467949
15000,0.99469150641
15500,0.994591346154
16000,0.994290865385
16500,0.994491185897
17000,0.994090544872
17500,0.994791666667
18000,0.994991987179
18500,0.994491185897
19000,0.994591346154
19500,0.994491185897
20000,0.993489583333
20500,0.994891826923
21000,0.994391025641
21500,0.995693108974
22000,0.995392628205
22500,0.994391025641
23000,0.99469150641
23500,0.994891826923
24000,0.994591346154
24500,0.995592948718
25000,0.993990384615
25500,0.994391025641
26000,0.994391025641
26500,0.994391025641
27000,0.995793269231
27500,0.994491185897
28000,0.993689903846
28500,0.99469150641
29000,0.995693108974
29500,0.994491185897
30000,0.99469150641
30500,0.994791666667
31000,0.99469150641
31500,0.99358974359
32000,0.992788461538
32500,0.993790064103
33000,0.995192307692
33500,0.993689903846
34000,0.994591346154
34500,0.994391025641
35000,0.994391025641
35500,0.994090544872
36000,0.994491185897
36500,0.994491185897
37000,0.993990384615
37500,0.994791666667
38000,0.994491185897
38500,0.99469150641
39000,0.99469150641
39500,0.993890224359
40000,0.994791666667
40500,0.994491185897
41000,0.995092147436
41500,0.994491185897
42000,0.994090544872
42500,0.992688301282
43000,0.994290865385
43500,0.994891826923
44000,0.995092147436
44500,0.994891826923
45000,0.995192307692
45500,0.995292467949
46000,0.995092147436
46500,0.994991987179
47000,0.994791666667
47500,0.994891826923
48000,0.994290865385
48500,0.993990384615
49500,0.995192307692
50000,0.994591346154
50500,0.993790064103
51000,0.994891826923
51500,0.994991987179
52000,0.994190705128
52500,0.994290865385
53000,0.994991987179
53500,0.994491185897
54000,0.994290865385
54500,0.994591346154
55000,0.995192307692
55500,0.994491185897
56000,0.994791666667
56500,0.994591346154
57000,0.994591346154
57500,0.994991987179
58000,0.993489583333
58500,0.994090544872
59000,0.993790064103
59500,0.99469150641
60000,0.994491185897
60500,0.995392628205
61000,0.994190705128
61500,0.99358974359
62000,0.99469150641
62500,0.994391025641
63000,0.994090544872
63500,0.993790064103
64000,0.994491185897
64500,0.994491185897
65000,0.993990384615
65500,0.99358974359
66000,0.993990384615
66500,0.99469150641
67000,0.99469150641
67500,0.994190705128
68000,0.994190705128
68500,0.995292467949
69000,0.995092147436
69500,0.992988782051
70000,0.993790064103
70500,0.994391025641
71000,0.994290865385
71500,0.995192307692
72000,0.994190705128
72500,0.994090544872
73000,0.994791666667
73500,0.993489583333
74000,0.994791666667
74500,0.993990384615
75000,0.994391025641
75500,0.993189102564
76000,0.992688301282
76500,0.993990384615
77000,0.994290865385
77500,0.993990384615
78000,0.994491185897
78500,0.994290865385
79000,0.995392628205
79500,0.995092147436
80000,0.993890224359
80500,0.994290865385
81000,0.994090544872
81500,0.995292467949
82000,0.995092147436
82500,0.994190705128
83000,0.994090544872
83500,0.994491185897
84000,0.993990384615
84500,0.993890224359
85000,0.993790064103
86000,0.994090544872
86500,0.994290865385
87000,0.994791666667
87500,0.993990384615
88500,0.994491185897
89000,0.994991987179
89500,0.993890224359
90000,0.994190705128
90500,0.994391025641
91000,0.994290865385
91500,0.994591346154
92000,0.993689903846
92500,0.994391025641
93000,0.994190705128
93500,0.993489583333
94000,0.993489583333
94500,0.99469150641
95000,0.99358974359
95500,0.993389423077
