step,test_acc
500,0.985877403846
1000,0.990985576923
1500,0.989783653846
2000,0.992688301282
2500,0.992588141026
3000,0.993088942308
3500,0.992888621795
4000,0.994190705128
4500,0.993289262821
5000,0.993289262821
5500,0.992888621795
6000,0.993890224359
6500,0.993389423077
7500,0.993990384615
8000,0.995092147436
8500,0.994090544872
9000,0.994290865385
9500,0.994391025641
10000,0.993890224359
10500,0.993289262821
11000,0.994090544872
11500,0.993689903846
12000,0.992788461538
12500,0.994290865385
13000,0.994591346154
13500,0.994491185897
14000,0.994391025641
14500,0.994090544872
15000,0.993790064103
15500,0.993990384615
16000,0.994290865385
16500,0.994090544872
17000,0.993990384615
17500,0.993489583333
18000,0.993689903846
18500,0.993990384615
19000,0.994391025641
19500,0.993189102564
20000,0.992988782051
20500,0.993890224359
21000,0.994190705128
21500,0.994491185897
22000,0.994391025641
23000,0.994391025641
23500,0.994190705128
24000,0.994391025641
24500,0.994290865385
25000,0.994491185897
25500,0.993389423077
26000,0.992387820513
26500,0.993790064103
27000,0.993990384615
27500,0.993689903846
28000,0.993990384615
28500,0.994290865385
29000,0.993890224359
29500,0.993890224359
30000,0.994391025641
30500,0.994491185897
31000,0.993990384615
31500,0.994290865385
32000,0.994090544872
32500,0.994190705128
33000,0.993790064103
33500,0.994190705128
34000,0.994090544872
34500,0.993489583333
35000,0.993890224359
35500,0.994391025641
36000,0.99469150641
36500,0.993790064103
37000,0.994491185897
37500,0.992988782051
38500,0.994290865385
39000,0.994190705128
39500,0.994090544872
40000,0.993790064103
40500,0.994290865385
41000,0.993790064103
41500,0.994290865385
42000,0.994290865385
42500,0.994591346154
43000,0.994290865385
43500,0.994290865385
44000,0.994190705128
44500,0.994190705128
45000,0.994391025641
45500,0.994391025641
46000,0.994891826923
46500,0.994491185897
47000,0.994190705128
47500,0.994391025641
